Title,Address,Editor-Notes,Category,ALPDEntry
Empire State Leader (weekly),"The Hogan Publish ing Co., P. O. Box 664, Schenectady, N. Y. Dallas A. Hogan",Uses mats.,General Labor (U.S.),"Empire State Leader (weekly). Saturdays. Established 1905, 8 pages, $1.50, circulation 4,000. The Hogan Publish ing Co., P. O. Box 664, Schenectady, N. Y. Dallas A. Hogan, ed. Uses mats."
"Industrial Weekly, The (weekly)","Thomas M. Gafney, pub. and ed., 238-240 West Fayette Street, Syracuse, N. Y. Official organ, Trades Assembly. American Federation of Labor News. Uses mats.",NONE,General Labor (U.S.),"Industrial Weekly, The (weekly). Fridays. Established 1904, 8 pages, $2, circulation 5,000. Thomas M. Gafney, pub. and ed., 238-240 West Fayette Street, Syracuse, N. Y. Official organ, Trades Assembly. American Federation of Labor News. Uses mats."
"Labor Journal, The (weekly)","Labor Journal Publishing Co., 59 Congress Street, Troy, N. Y. James Lemke","Official organ, Troy Federation of Labor. Inter national Labor News. Uses mats.",General Labor (U.S.),"Labor Journal, The (weekly). Fridays. Established 1919, 4-8 pages, $l, circulation 5,200. Labor Journal Publishing Co., 59 Congress Street, Troy, N. Y. James Lemke, ed. Official organ, Troy Federation of Labor. Inter national Labor News. Uses mats."
Utica Labor Advocate (weekly),"16 Liberty Street, Utica, N. Y.",NONE,General Labor (U.S.),"Utica Labor Advocate (weekly). 16 Liberty Street, Utica, N. Y."
Workman (weekly),"64 Main Street, Yonkers, N. Y.",NONE,General Labor (U.S.),"Workman (weekly). 64 Main Street, Yonkers, N. Y."
Asheville Advocate (weekly),"Advocate Publishing Co., 91 Patton Avenue, Asheville, N. C. H. C. Caldwell","International Labor News. Uses mats. Official organ, North Carolina State Federation of Labor, etc.",General Labor (U.S.),"Asheville Advocate (weekly). Thursdays. Established 1918, 12 pages, $2, circulation 4,211. Advocate Publishing Co., 91 Patton Avenue, Asheville, N. C. H. C. Caldwell, ed. International Labor News. Uses mats. Official organ, North Carolina State Federation of Labor, etc."
"Charlotte Herald, The (weekly)","Herald Publishing Co., 32 South College, Charlotte, N. C. James F. Barrett","Endorsed by North Carolina State Federation of Labor. American Federation of Labor Weekly News, International Labor News. Uses mats.",General Labor (U.S.),"Charlotte Herald, The (weekly). Fridays. Established 1917, 16 pages, $2, circulation 5,378. Herald Publishing Co., 32 South College, Charlotte, N. C. James F. Barrett, ed. Endorsed by North Carolina State Federation of Labor. American Federation of Labor Weekly News, International Labor News. Uses mats."
Raleigh Labor Educator (weekly),"Raleigh, NC",NONE,General Labor (U.S.),"Raleigh Labor Educator (weekly). Raleigh, N. C."
"Union Herald, The (weekly)","Charles and H. B. Ruffin, W. F. Moody, Hargett and Wilmington, Raleigh, NC. L. E. Nichols",Endorsed by local unions. International Labor News. Uses mats. Democratic.,General Labor (U.S.),"Union Herald, The (weekly). Thursdays. Established l917, 8 pages, $1.50, circulation 1,250. Charles and H. B. Ruffin, W. F. Moody, Hargett and Wilmington, Raleigh, N. C. L. E. Nichols, ed. Endorsed by local unions. International Labor News. Uses mats. Democratic."
"Union Labor Record, The (weekly)","George Wallace Cameron, pub. and ed., 10 Dock Street, Wilmington, N. C.","Endorsed by State Federation of Labor, Wilmington Trades Counci1. International Labor News, American Federation of Labor Weekly News, International Typo graphical Union Service, People's Legislative Service, League for Industrial Democracy.",General Labor (U.S.),"Union Labor Record, The (weekly). Fridays. Established 1915, 6-12 pages, $2, circulation 2,000. George Wallace Cameron, pub. and ed., 10 Dock Street, Wilmington, N. C. Endorsed by State Federation of Labor, Wilmington Trades Counci1. International Labor News, American Federation of Labor Weekly News, International Typo graphical Union Service, People's Legislative Service, League for Industrial Democracy."
Unity and Justice (weekly),"924 Chestnut Street, Winston-Salem, N. C.",NONE,General Labor (U.S.),"Unity and Justice (weekly). 924 Chestnut Street, Winston- Salem, N. C."
North Dakota Labor Leader (weekly),"Peter Morgan, pub. and ed., Grand Forks, ND",NONE,General Labor (U.S.),"North Dakota Labor Leader (weekly). Thursdays. Established 1917, $.50, Peter Morgan, pub. and ed., Grand Forks,"
Akron Herald,"11 East Market Street, Akron, Ohio.",NONE,General Labor (U.S.),"Akron Herald. Haver Building, Akron, Ohio. People (weekly). 21 South Main Street, Akron, Ohio. Summit County Labor News (weekly). 11 East Market Street, Akron, Ohio."
Union Reporter (monthly),"Alliance, OH",NONE,General Labor (U.S.),"Union Reporter (monthly). Alliance, Ohio. Cambridge"
Guernsey Valley Bulletin (monthly),"Central Labor Union, Cam bridge, Ohio. H. C. Washburn",American Federa tion of Labor Weekly News.,General Labor (U.S.),"Guernsey Valley Bulletin (monthly). Established 1918, 4 pages, $.50, circulation 1,500. Central Labor Union, Cam bridge, Ohio. H. C. Washburn, ed. American Federa tion of Labor Weekly News."
Stark County Labor Journal,"307 Market Avenue, South, Canton, Ohio.",NONE,General Labor (U.S.),"Stark County Labor Journal. 307 Market Avenue, South, Canton, Ohio."
Union Reporter (monthly),", 306 Fifth Street, S. E., Canton, Ohio.",NONE,General Labor (U.S.),"Union Reporter (monthly). Established 1902, $1. Union Re porter Co., 306 Fifth Street, S. E., Canton, Ohio."
Chronicle (weekly),"Central Labor Council, 1311 Walnut Street, Cincinnati, Ohio. George F. Rooney",NONE,General Labor (U.S.),"Chronicle (weekly). Saturdays. Established 1891, 8 pages, $1, circulation 5,000. Central Labor Council, 1311 Walnut Street, Cincinnati, Ohio. George F. Rooney, ed."
"Labor Advocate, The (weekly)","Building Trades Council, 20-21 Thorns Building, 5th and Main, Cincinnati, Ohio. W. E. Myers",International Labor News. Uses mats.,General Labor (U.S.),"Labor Advocate, The (weekly). Saturdays. Established 1910, 8 pages, $2, circulation 27,865. Building Trades Council, 20-21 Thorns Building, 5th and Main, Cincinnati, Ohio. W. E. Myers, ed. International Labor News. Uses mats."
News (weekly),"1314 Walnut Street, Cincinnati, Ohio.",NONE,General Labor (U.S.),"News (weekly). Machinists' union, 1314 Walnut Street, Cincinnati, Ohio."
Trades Union Journal (weekly),"Lon B. Ames, pub. and ed., 16 East Court, Cincinnati, Ohio. Endorsed by local unions. American Federation of Labor Weekly News.",NONE,General Labor (U.S.),"Trades Union Journal (weekly). Saturdays. Established 1895, 8 pages, $1, circulation 5,000. Lon B. Ames, pub. and ed., 16 East Court, Cincinnati, Ohio. Endorsed by local unions. American Federation of Labor Weekly News."
Workers' Journal (weekly),"2347 Vine Street, Cincinnati, Ohio.",NONE,General Labor (U.S.),"Workers' Journal (weekly). 2347 Vine Street, Cincinnati, Ohio."
Cleveland Federationist (weekly),"The Cleveland Federationist Publishing Co., 307 Superior Avenue, Cleveland, Ohio. Isadore Goldsmith",Interna tional Labor News. Uses mats. Columbus,General Labor (U.S.),"Cleveland Federationist (weekly). Thursdays. Established 1907, 4 pages, $1, circulation 4,400. The Cleveland Federationist Publishing Co., 307 Superior Avenue, Cleveland, Ohio. Isadore Goldsmith, ed. Interna tional Labor News. Uses mats. Columbus"
Columbus Federationist (weekly),"Columbus Federationist Printing Co., Grand Theatre Building, Columbus, Ohio. John E. Sullivan",Uses mats.,General Labor (U.S.),"Columbus Federationist (weekly). Thursdays. Established 1920, $1.50. Columbus Federationist Printing Co., Grand Theatre Building, Columbus, Ohio. John E. Sullivan, ed. Uses mats."
"Dayton Labor Review, The (weekly)","The Labor Review Publishing Co., 211 South Ludlow Street, Day ton, Ohio. E. A. Nunan","Endorsed by local unions. International Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Dayton Labor Review, The (weekly). Fridays. Established 1916, 8 pages, $1.50, circulation 11,463. The Labor Review Publishing Co., 211 South Ludlow Street, Day ton, Ohio. E. A. Nunan, ed. Endorsed by local unions. International Labor News, American Federation of Labor Weekly News. Uses mats."
Labor Weekly (weekly),"Central Labor Union, 651 Broadway, Lorain, Ohio. H. L. Hunt",NONE,General Labor (U.S.),"Labor Weekly (weekly). Fridays. Established 1919, $1. Cen tral Labor Union, 651 Broadway, Lorain, Ohio. H. L. Hunt, ed."
Newark Leader (weekly),"Julius Juch, pub. and ed., l7l/2 West Main Street, .Newark, Ohio. Official organ, Trades and Labor Assembly, etc. American Federation of Labor Weekly News, Federated Press. Uses mats.",NONE,General Labor (U.S.),"Newark Leader (weekly). Fridays. Established 1917, 8 pages, $1, circulation 2,100. Julius Juch, pub. and ed., l7l/2 West Main Street, .Newark, Ohio. Official organ, Trades and Labor Assembly, etc. American Federation of Labor Weekly News, Federated Press. Uses mats."
"Labor News, The (fortnightly)","1324 North Fifth Street, New Philadelphia, Ohio. Thomas H. Darst","Official organ, Trades and Labor Assembly. Am erican Federaton of Labor Weekly News. Uses mats.",General Labor (U.S.),"Labor News, The (fortnightly). Established 1918, 6 pages, $1, cir culation 2,500. Thomas H. and Etta Darst, 132}4 North Fifth Street, New Philadelphia, Ohio. Thomas H. Darst, ed. Official organ, Trades and Labor Assembly. Am erican Federaton of Labor Weekly News. Uses mats."
"Labor Review, The (weekly)","Central Labor Council, 400 Masonic Temple, Portsmouth, Ohio. Louis C. Herder",International Labor News. Springfield,General Labor (U.S.),"Labor Review, The (weekly). Saturdays. Established 1918, 8 pages, $1, circulation 2,700. Central Labor Council, 400 Masonic Temple, Portsmouth, Ohio. Louis C. Herder, ed. International Labor News. Springfield"
"Tribune, The (weekly)","Tribune Publishing Co., Labor Temple, Springfield, Ohio. Official organ, Trades and Labor Assembly. C. W. Rich","International Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Tribune, The (weekly). Fridays. Established 1909, 8 pages, $1.50, circulation 4,500. Tribune Publishing Co., Labor Temple, Springfield, Ohio. Official organ, Trades and Labor Assembly. C. W. Rich, ed. International Labor News, American Federation of Labor Weekly News. Uses mats."
Peoples's Press,"210 Wayne Building, Toledo, Ohio.",NONE,General Labor (U.S.),"Peoples's Press. 210 Wayne Building, Toledo, Ohio."
"Toledo Union Leader, The (weekly)","Toledo Central Labor Union, 1103 Cherry Street, Toledo, Ohio. Joseph P. Keating","American Federation of Labor Weekly News, International Labor News. Uses mats.",General Labor (U.S.),"Toledo Union Leader, The (weekly). Fridays. Established 1907, 8 pages, $1.50, circulation 12,000. Toledo Central Labor Union, 1103 Cherry Street, Toledo, Ohio. Jo seph P. Keating, ed. American Federation of Labor Weekly News, International Labor News. Uses mats."
"Labor Record, The (weekly)","The Labor Record Publishing Co., Room 208 K. of C. Building, P. O. Box 61, Youngstown, Ohio. Harry Dechend","Owned by central bodies of Mahoning and Trumbull counties. International Labor News, All American Cooperative News. Uses mats.",General Labor (U.S.),"Labor Record, The (weekly). Thursdays. Established 1908, 4- 8 pages, $1.50, circulation 5,500. The Labor Record Publishing Co., Room 208 K. of C. Building, P. O. Box 61, Youngstown, Ohio. Harry Dechend, ed. Owned by central bodies of Mahoning and Trumbull counties. International Labor News, All American Cooperative News. Uses mats."
Labor Journal (weekly),"6th and South Streets, Zanesville, Ohio.",NONE,General Labor (U.S.),"Labor Journal (weekly). 6th and South Streets, Zanesville, Ohio."
Zanesville Tribune (weekly),"North 4th Street, Zanesville, Ohio.",NONE,General Labor (U.S.),"Zanesville Tribune (weekly). \iy2 North 4th Street, Zanesville, Ohio."
"Madill Herald, The","Madill, OK",NONE,General Labor (U.S.),"Madill Herald, The. Madill, Okla."
Oklahoma Federationist (monthly),"5216 West Main Street, Oklahoma City, Okla. Victor S. Purdy","American Federation of Labor Weekly News, International Labor News. Uses mats.",General Labor (U.S.),"Oklahoma Federationist (monthly). Established 1909, 8 and more pages, $1, circulation 3,600. Oklahoma State Federation of Labor, 5216 West Main Street, Oklahoma City, Okla. Victor S. Purdy, ed. American Federation of Labor Weekly News, International Labor News. Uses mats."
Oklahoma Leader (weekly),"Oklahoma Leader Co., 17 West Third Street, Oklahoma City, Okla. Oscar Ameringer, Dan Hogan, E. R. Chamberlain, eds.","Endorsed by State Federation of Labor, Central Labor Union, etc. International Labor News, Federated Press. Uses mats. Farmer-labor politics.",General Labor (U.S.),"Oklahoma Leader (weekly). Fridays. Established 1920, 8 pages, $1.50, circulation 15,000. Oklahoma Leader Co., 17 West Third Street, Oklahoma City, Okla. Oscar Ameringer, Dan Hogan, E. R. Chamberlain, eds. En dorsed by State Federation of Labor, Central Labor Union, etc. International Labor News, Federated Press. Uses mats. Farmer-labor politics."
Oklahoma Trades Review,"408 West 2nd Street, Oklahoma City, Okla.",NONE,General Labor (U.S.),"Oklahoma Trades Review. 408 West 2nd Street, Oklahoma City, Okla."
"Unionist Journal, The (monthly)","Central Trades and Labor Coun cil, 222-4 West Third Street, Tulsa, Okla. V. V. Van Tilburg",Uses mats.,General Labor (U.S.),"Unionist Journal, The (monthly). Established 1917, 24-72 pages, $1.50, circulation 6,200. Central Trades and Labor Coun cil, 222-4 West Third Street, Tulsa, Okla. V. V. Van Tilburg, ed. Uses mats."
Oregon Labor Press (weekly),"Oregon Labor Press Publishing Co., Room 103, Labor Temple, Portland, Ore. C. M. Rynerson","Official organ, State Fede ration of Labor, Central Labor Counci1. International Labor News. Uses mats.",General Labor (U.S.),"Oregon Labor Press (weekly). Fridays. Established 1900, 6-8 pages, $1.50, circulation 10,000. Oregon Labor Press Publishing Co., Room 103, Labor Temple, Portland, Ore. C. M. Rynerson, ed. Official organ, State Fede ration of Labor, Central Labor Counci1. International Labor News. Uses mats."
Pennsylvania Labor Herald (weekly),"Labor Herald Publishing Co., 529 Hamilton Street, Allentown, Pa.","Official organ, Central Trades and Labor Counci1. International Labor News. Uses mats.",General Labor (U.S.),"Pennsylvania Labor Herald (weekly). Saturdays. Established 1913, 8 pages, $2, circulation 5,000. Labor Herald Pub lishing Co., (owned by organized labor movement of Lehigh Valley), 529 Hamilton Street, Allentown, Pa. Official organ, Central Trades and Labor Counci1. International Labor News. Uses mats."
Union News,"Allentown, PA",NONE,General Labor (U.S.),"Union News. Allentown, Pa."
Beaver Valley Labor News (weekly),"Anderson & Chambers, 630 Third Street, Beaver, Pa. F. L. Anderson","Official organ, Central Labor Councjl, Western News Paper Union.",General Labor (U.S.),"Beaver Valley Labor News (weekly). Thursdays. Established 1915, 8 pages, $1, circulation 1,600. Anderson & Chambers, 630 Third Street, Beaver, Pa. F. L. Ander son, ed. Official organ, Central Labor Councjl, Western News Paper Union."
Panther Creek News (daily),"128 East Street, Coaldale, Pa. Thomas Kennedy, Edward J. Donahue, eds. Associated Press.",NONE,General Labor (U.S.),"Panther Creek News (daily). Established 1920, 6-18 pages, $6, circulation 2,874. District 7, United Mine Workers of America, 128 East Street, Coaldale, Pa. Thomas Ken nedy, Edward J. Donahue, eds. Associated Press. Uses mats."
"Independent, The (weekly)","John M. Hartman, pub. and ed., 307 Cumberland Street, Harrisburg, Pa.",Endorsed by unions of vicinity. Federated Press. Uses mats.,General Labor (U.S.),"Independent, The (weekly). Fridays. Established 1922, 4 pages, $2, circulation 15,000. John M. Hartman, pub. and ed., 307 Cumberland Street, Harrisburg, Pa. En-~ dorsed by unions of vicinity. Federated Press. Uses mats."
Labor Age (monthly),"Labor Publication Society, Inc., Federation of Labor Building, 430 North St., Harrisburg, Pa. Louis Budenz, man. ed., board: Prince Hopkins, J. F. Anderson, Tim Healy, Henry Linville, Wm. Kohn, A. J. Muste, Thos. Van Lear, Stuart Chase, Wm. H. Johnston, E. H. Fitzgerald, MacAlister Cole- man, Max D. Danish, H. W. Laidler, Phil Ziegler.","Cooperatively owned by a group of National, State and Local Unions.",General Labor (U.S.),"Labor Age (monthly). Established 1921, 32 pages, $2.50, circu lation 10,031. Labor Publication Society, Inc., Federa tion, of Labor Building, 430 North St., Harrisburg, Pa. Louis Budenz, man. ed., board: Prince Hopkins, J. F. Anderson, Tim Healy, Henry Linville, Wm. Kohn, A. J. Muste, Thos. Van Lear, Stuart Chase, Wm. H. Johnston, E. H. Fitzgerald, MacAlister Cole- man, Max D. Danish, H. W. Laidler, Phil Ziegler. Cooperatively owned by a group of National, State and Local Unions."
Slovensky Obcan (weekly),"Citizen Publishing Co., 9 East Chestnut Street, Hazelton, Pa. John M. Janosov",Endorsed by Slovak working- men's societies. Uses mats.,General Labor (U.S.),"Slovensky Obcan (weekly). Slovak Citizen. Fridays. Estab lished 1912, 4-8 pages, $2, circulation 8,000. Citizen Publishing Co., 9 East Chestnut Street, Hazelton, Pa. John M. Janosov, ed. Endorsed by Slovak working- men's societies. Uses mats."
Labor Leader,"38 Market Street, Lancaster, Pa.",NONE,General Labor (U.S.),"Labor Leader. 38 Market Street, Lancaster, Pa. Loyalty Press, The. R. F. D. 2, Lancaster, Pa."
Monongahela Labor Journal (weekly),"John Reagan, 401 West Main treet, Monongahela, Pa. J. C. Linderman",En dorsed by trades councils of district. Uses mats. Philadelphia,General Labor (U.S.),"Monongahela Labor Journal (weekly). Fridays. Established 1921, 4-6 pages, circulation 30,000. John Reagan, 401 West Main treet, Monongahela, Pa. J. C. Linderman, ed. En dorsed by trades councils of district. Uses mats. Philadelphia"
Progressive Labor World (weekly),"130 Chestnut Street, Philadelphia, Pa.",NONE,General Labor (U.S.),"Progressive Labor World (weekly). 130 Chestnut Street, Philadelphia, Pa."
"Trades Union News, The (weekly)","The Trades Union News Publishing Co., 827-9 Filbert Street, Philadelphia, Pa. Harry W. Semple, man. ed. Endorsed by local unions. International Labor News. Uses mats. Pittsburgh",NONE,General Labor (U.S.),"Trades Union News, The (weekly). Thursdays. Established 1902, 20 pages, $2, circulation 33,000. The Trades Union News Publishing Co., 827-9 Filbert Street, Philadelphia, Pa. Harry W. Semple, man. ed. Endorsed by local unions. International Labor News. Uses mats. Pittsburgh"
Iron City Trades Council,"Washington and Webster Aves., Pittsburgh, Pa.",NONE,General Labor (U.S.),"Iron City Trades Council. Washington and Webster Aves., Pittsburgh, Pa."
Labor Free Press (weekly),"Arthur E. Ireland, pub. and ed., 431 Fourth Avenue, Pittsburgh, Pa. Endorsed by State Federation of Labor, Pittsburgh Central Labor Union, etc. International Labor News. Uses mats.",NONE,General Labor (U.S.),"Labor Free Press (weekly). Thursdays. Established 1922, 8- 12 pages, $2, circulation 10,000. Arthur E. Ireland, pub. and ed., 431 Fourth Avenue, Pittsburgh, Pa. Endorsed by State Federation of Labor, Pittsburgh Central Labor Union, etc. International Labor News. Uses mats."
"Labor World, The (weekly)","The Journal Publishing Co., 220-2 Third Avenue, 217-19 Boulevard of the Allies, Pittsburgh, Pa. Lewis McGrew, J. B. Johnston, eds.",NONE,General Labor (U.S.),"Labor World, The (weekly). Thursdays. Established 1892, $5. The Journal Publishing Co., 220-2 Third Avenue, 217-19 Boulevard of the Allies, Pittsburgh, Pa. Lewis McGrew, J. B. Johnston, eds."
National Labor Journal (weekly),NONE,NONE,General Labor (U.S.),"National Labor Journal (weekly). Union Labor Temple, Pitts burgh, Pa."
National Labor Tribune (weekly),"National Labor Tribune, Inc., P. O. Box, 302, Pittsburgh, Pa. J. H. Vitchestain. ed. Uses mats.",NONE,General Labor (U.S.),"National Labor Tribune (weekly). Thursdays. Established 1872, 8 pages, $2, circulation 40,000. National Labor Tribune, Inc., P. O. Box, 302, Pittsburgh, Pa. J. H. Vitchestain. ed. Uses mats."
NONE,NONE,NONE,NONE,NONE
Industrial Advocate (weekly),"Pittston, Pa.",NONE,General Labor (U.S.),"Industrial Advocate (weekly). Central Labor Union, Pittston, Pa. Shenandoah"
Anthracite Labor News (weekly),"Shenandoah, Pa.",NONE,General Labor (U.S.),"Anthracite Labor News (weekly). Saturdays. Established 1904. $1. M. E. Doyle, pub. and ed., Shenandoah, Pa."
Working World (weekly),"Uniontown, Pa.",NONE,General Labor (U.S.),"Working World (weekly). Uniontown, Pa. Wilkes-Barre"
"Courier-Herald, The (weekly)","H. W. and C. F. Yetter, pub. and ed., 11 W. Market Street, Wilkes-Barre, Pa. Western Newspaper Union.",NONE,General Labor (U.S.),"Courier-Herald, The (weekly). Thursdays. Established 1899, 8 pages, $2, circulation 5,000. H. W. and C. F. Yetter, pub. and ed., 11 W. Market Street, Wilkes-Barre, Pa. Western Newspaper Union."
Labor News (weekly),"Labor News Publishing Co., 700 Meyer Building, Wilkes Barre, Pa. Bernard Callahan","Official organ, Central Labor Union. King Features, International Labor News, Federated Press. York",General Labor (U.S.),"Labor News (weekly). Fridays. Established 1924, 8 pages, $2, circulation 6,700. Labor News Publishing Co., 700 Meyer Building, Wilkes Barre, Pa. Bernard Callahan, ed. Official organ, Central Labor Union. King Features, International Labor News, Federated Press. York"
York Labor Advocate (weekly),"Federation of Trades Union, 130 South Beaver Street, York, Pa. A. J. Dohm",NONE,General Labor (U.S.),"York Labor Advocate (weekly). Fridays. Established 1917, 4 pages, $.50. Federation of Trades Union, 130 South Beaver Street, York, Pa. A. J. Dohm, ed."
New England Labor Digest (monthly),"125 Prairie Avenue, Providence, R. I.",NONE,General Labor (U.S.),"New England Labor Digest (monthly). 125 Prairie Avenue, Providence, R. I."
Labor Defender (monthly),"Labor Defender, Huron, South Dakota. Charles C. Moore",NONE,General Labor (U.S.),"Labor Defender (monthly). Established 1922, $1.50. Labor De fender, Huron, South Dakota. Charles C. Moore, ed."
Labor News (weekly),"Sioux Falls, SD",NONE,General Labor (U.S.),"Labor News (weekly). Trades and Labor Assembly, Sioux Falls, S. Dak."
Central Labor Journal (weekly),"Chattanooga, TN",NONE,General Labor (U.S.),"Central Labor Journal (weekly). Chattanooga, Tenn."
Labor World (weekly),"Labor World Publishing Co., 318 N. 8th Street, Chattanooga, Tenn. Knoxville",NONE,General Labor (U.S.),"Labor World (weekly). Fridays. Established 1916, $2, Circu lation 2,000. Labor World Publishing Co., 318 N. 8th Street, Chattanooga, Tenn. Knoxville"
"Knoxville Independent, The (weekly)","George W. Ford, pub. and ed., 2115 E. Nelson Street, Knoxville, Tenn. Western Newspaper Union. Republican labor politics.",NONE,General Labor (U.S.),"Knoxville Independent, The (weekly). Saturdays. Established 1894, 8 pages, $1, circulation 1,200. George W. Ford, pub. and ed., 2115 E. Nelson Street, Knoxville, Tenn. Western Newspaper Union. Republican labor politics."
Progressive Labor (weekly),"Sam H. Seandlyn, pub. and ed., 3\9ya N. Gay Street, Knoxville, Tenn. Official organ, Central Labor Union. American Federation of Labor Weekly News. Uses mats.",NONE,General Labor (U.S.),"Progressive Labor (weekly). Thursdays. Established 1922, 8 pages, $2, circulation 1,000. Sam H. Seandlyn, pub. and ed., 3\9ya N. Gay Street, Knoxville, Tenn. Official organ, Central Labor Union. American Federation of Labor Weekly News. Uses mats."
"Labor Review, The (weekly)","Jacob Cohen, pub. and ed., Goodbar Building, Memphis, Tenn. Official organ, Trades and Labor Council. International Labor News. Uses mats. Democratic.",NONE,General Labor (U.S.),"Labor Review, The (weekly). Fridays. Established 1917, 4-8 pages, $2, circulation 10,000. Jacob Cohen, pub. and ed., Goodbar Building, Memphis, Tenn. Official organ, Trades and Labor Council. International Labor News. Uses mats. Democratic."
Labor Advocate (w,"Second Ave. N., Nashville, Tenn.",NONE,General Labor (U.S.),"Labor Advocate (w..) Fridays. Established 1902, 12 pages, $1, circulation 5,000. Labor Advocate Publishing Co., Second Ave. N., Nashville, Tenn. A. E. Hill, ed."
Beaumont Star,"Beaumont, TX",NONE,General Labor (U.S.),"Beaumont Star. Beaumont, Texas."
Cleburne Union Standard (weekly),"Cleburne, TX",NONE,General Labor (U.S.),"Cleburne Union Standard (weekly). Cleburne, Tex."
"Dallas Craftsman, The, (weekly)","W. M. Reilly, pub. and ed., Labor Temple, Young Street, Dallas, Tex.","Official organ, Central Labor Council, Farm Labor Union of Dallas County. International Labor News. Texas Carpenter (monthly)",General Labor (U.S.),"Dallas Craftsman, The, (weekly). Fridays. Established 1913, 8 pages, $1, circulation 6,000. W. M. Reilly, pub. and ed., Labor Temple, Young Street, Dallas, Tex. Offi cial organ, Central Labor Council, Farm Labor Union of Dallas County. International Labor News. Texas Carpenter (monthly). Established 1904, 24 pages, $.50. Texas State Council of Carpenters, P. O. Box 1313, Dallas, Tex. R. E. Roberts, ed."
Toiler (weekly),"Toiler Publishing Co., Labor Temple, Young and Evergreen Sts., Dallas, Tex. S. Rodermann",NONE,General Labor (U.S.),"Toiler (weekly). Saturdays. Established 1914, $1. Toiler Pub lishing Co., Labor Temple, Young and Evergreen Sts., Dallas, Tex. S. Rodermann, ed."
Labor Journal (weekly),"Floy Haley, pub. and ed., Denison, Texas.",NONE,General Labor (U.S.),"Labor Journal (weekly). Saturdays. Established 1916, 4 pages, $1, circulation 400. Floy Haley, pub. and ed., Denison, Texas."
El Paso City and County Labor Advocate (weekly),"William J. Moran, pub. and ed., Labor Advocate Building, El Paso, Texas. Official organ, Central Labor Union, etc. International Labor News. Uses mats. Fort Worth",NONE,General Labor (U.S.),"El Paso City and County Labor Advocate (weekly). Fridays. Established 1909, 8 pages, $1, circulation 5,400. William J. Moran, pub. and ed., Labor Advocate Building, El Paso, Texas. Official organ, Central Labor Union, etc. International Labor News. Uses mats. Fort Worth"
Southwestern Bricklayer (monthly),"223 S. Oregon Street, El Paso, Texas. ","William J. Moran. Official organ, State Conference, Bricklayers, Masons and Plasterers International Union.",General Labor (U.S.),"Southwestern Bricklayer (monthly). Established 1912, 12-24 pages, $1, circulation 3,600. William J. Moran, pub. and ed., 223 S. Oregon Street, El Paso, Texas. Official organ, State Conference, Bricklayers, Masons and Plasterers International Union. Building News Services. Uses mats."
Southwestern Railway Journal (monthly),"C. F. Goodridge, pub. and ed., 108 East Weatherford Street, Fort Worth, Texas. Official organ, Train and Engine Ser vice Brotherhoods of Texas.",NONE,General Labor (U.S.),"Southwestern Railway Journal (monthly). Established 1907, 16 and more pages, $.50, circulation 6,400. C. F. Goodridge, pub. and ed., 108 East Weatherford Street, Fort Worth, Texas. Official organ, Train and Engine Ser vice Brotherhoods of Texas."
Union Banner (weekly),"C. W. Woodman, pub. and ed., P. O. Box 987, Third and Calhoun Streets, Fort Worth, Texas.",NONE,General Labor (U.S.),"Union Banner (weekly). Saturdays. Established 1898, $1. C. W. Woodman, pub. and ed., P. O. Box 987, Third and Calhoun Streets, Fort Worth, Texas."
Union Review (weekly),"M. E. Shay, pub. and ed., Galveston, Texas.",NONE,General Labor (U.S.),"Union Review (weekly). Fridays. Established 1919, 4-8 pages, $1.50, circulation 2,400. M. E. Shay, pub. and ed., Galveston, Texas."
Labor Journal (weekly),"Houston Labor Journal Pub lishing Co., 607 Franklin Avenue, Houston, Texas. E. V. Aten","Official organ, Central- body and Farmers' Union.",General Labor (U.S.),"Labor Journal (weekly). Fridays. Established 1898, 8 pages, $2, circulation 8,500. Houston Labor Journal Pub lishing Co., 607 Franklin Avenue, Houston, Texas. E. V. Aten, ed. Official organ, Central- body and Farmers' Union."
Texas Railway Employees' Journal,"Kiani Building, Houston, Texas.",NONE,General Labor (U.S.),"Texas Railway Employees' Journal. Kiani Building, Houston, Texas."
Luz y Verdad (monthly),"Jose M. Mora, pub. and ed., P. O. Box 674, Laredo, Texas.",NONE,General Labor (U.S.),"Luz y Verdad (monthly). Spanish. Established 1916, 12 pages, $1, circulation 300. Jose M. Mora, pub. and ed., P. O. Box 674, Laredo, Texas."
Labor Forum (weekly),"S. R. Nicks, 310 Sixth Street, Port Arthur, Tex. C. C. Sapp",NONE,General Labor (U.S.),"Labor Forum (weekly). Fridays. 'Established 1919, $1.50. S. R. Nicks, 310 Sixth Street, Port Arthur, Tex. C. C. Sapp, ed."
